ERR1797969	ERR1797970	ERR1797971	ERR1797972	ERR1797973	ERR1797974
EFEADKAH_00588	2.16121949260131	2.11851312283641	2.15170225076565	-2.11105877455477	-2.14035714436108	-2.18001894728751
EFEADKAH_00587	2.13017840034497	2.08006446678699	2.16770427115232	-2.04323929960105	-2.17522467894506	-2.15948315973816
EFEADKAH_00589	2.11086365494448	2.09644924737598	2.13041107982095	-2.03723450327569	-2.14491258243662	-2.15557689642911
EFEADKAH_00586	2.09951217097941	2.05821121235227	2.1663548792578	-2.02037336120742	-2.14378688648886	-2.1599180148932
EFEADKAH_00585	2.06169225106625	2.033709702954	2.19190302679205	-2.02468958818148	-2.12076919998576	-2.14184619264505
EFEADKAH_00584	2.0072230940303	2.00124287261511	2.15570840091415	-1.99187426168387	-2.08706835061347	-2.08523175526222
EFEADKAH_00582	2.02842861950286	1.95598799193824	2.15838795558205	-1.97317768671523	-2.07912846087178	-2.09049841943615
EFEADKAH_00581	1.98419323107312	1.95374829862254	2.16781985460048	-1.96392958699626	-2.07946063201549	-2.06237116528439
EFEADKAH_00583	2.04810808090844	1.91787371719048	2.11352480769293	-1.94981074739381	-2.08282527988917	-2.04687057850886
EFEADKAH_00528	1.95580398044381	2.04534535949789	1.91488225854287	-1.92544041933281	-1.98862334924409	-2.00196782990767
EFEADKAH_00313	2.05054895487922	1.86991838721014	1.88686418659	-1.89559055734099	-1.98012734311747	-1.9316136282209
EFEADKAH_00310	1.98362699371976	1.87705757560134	1.93885847517034	-1.92646980061124	-1.92615500427232	-1.94691823960787
EFEADKAH_02156	1.82914261437246	1.75599757273075	2.18277241037884	-1.93464009243995	-1.8685449361637	-1.96472756887842
EFEADKAH_00311	1.97649256338439	1.84775813405814	1.9122866709971	-1.89186301324498	-1.88119278034575	-1.9634815748489
EFEADKAH_02307	1.9341979755267	1.90971180239473	1.88192619129913	-1.85543529824088	-1.92276815962046	-1.94763251135921
EFEADKAH_00314	2.05445664907124	1.78101457617854	1.87840624620941	-1.8456725737929	-1.89424665682322	-1.97395824084307
EFEADKAH_02309	1.83135789253576	1.92619434282931	1.88593885434969	-1.84545118590758	-1.89850200928225	-1.89953789452494
EFEADKAH_00663	1.80846634751082	1.83981878520897	1.89293255491164	-1.7872253156413	-1.92847512553892	-1.82551724645121
EFEADKAH_02310	1.75844967917514	1.85351227852802	1.75380721603228	-1.78289106110744	-1.82718473488863	-1.75569337773937
EFEADKAH_02313	1.76562337767607	1.78738567048699	1.7037787194397	-1.70196524739922	-1.7538807835046	-1.80094173669892
EFEADKAH_02311	1.75524056441937	1.78059586486084	1.7095627708449	-1.70401262940534	-1.79392577822193	-1.74746079249782
EFEADKAH_02312	1.78426656060156	1.78334773763272	1.67237698707462	-1.7138494282338	-1.76348180584469	-1.76266005123042
EFEADKAH_00312	1.80270682670963	1.78045420762652	1.63285326787117	-1.68043701204608	-1.81114801977082	-1.72442927039042
EFEADKAH_00939	1.78116057589874	1.761830221681	1.56358191957915	-1.72099283580308	-1.64630044432938	-1.73927943702643
EFEADKAH_00938	1.69981330368088	1.67540518314749	1.71397147033971	-1.58684082882192	-1.92581286848273	-1.57653625986344
EFEADKAH_01549	1.66244491270889	1.68541886257648	1.72674510988853	-1.65617593436554	-1.7130036760483	-1.70542927476005
EFEADKAH_01857	-1.82884064305808	-1.63560025295193	-1.5983076035526	1.61490452619579	1.80764531424964	1.64019865911718
EFEADKAH_00935	1.75765807633869	1.72093939996496	1.57405824003287	-1.84468323184326	-1.70675556478964	-1.50121691970362
EFEADKAH_02157	1.68481219133903	1.47795569745795	1.84838906258773	-1.49111125543569	-1.66916045147732	-1.85088524447169
EFEADKAH_00193	-1.73796762798198	-1.6626391659606	-1.61559262723062	1.58866148463327	1.81457735341325	1.61296058312668
EFEADKAH_00942	1.67742562406639	1.68206532525117	1.65477643057025	-1.597189571304	-1.76286492498971	-1.6542128835941
EFEADKAH_01552	1.63143155281422	1.60204338145791	1.77066138407462	-1.64014502976861	-1.65282657197243	-1.71116471660571
EFEADKAH_00936	1.60966542118602	1.66279045710383	1.72576985408581	-1.61479033050004	-1.74179303015812	-1.6416423717175
EFEADKAH_01550	1.6805056128278	1.571268721629	1.72672582638851	-1.58691543280469	-1.65956543380046	-1.73201929424016
EFEADKAH_00943	1.74419688614477	1.60730683683343	1.61944665601305	-1.53574155569546	-1.73513450513294	-1.70007431816286
EFEADKAH_00984	1.59583471287036	1.76822364283349	1.60640676063526	-1.68996858308657	-1.57447848531023	-1.7060180479423
EFEADKAH_02199	1.81661427451447	1.61148249746857	1.51271659077243	-1.7999191560081	-1.80592910442553	-1.33496510232184
EFEADKAH_01152	1.64392378642639	1.48503700595386	1.80597804921904	-1.60908222379887	-1.66883498842861	-1.65702162937181
EFEADKAH_01570	1.59553237360809	1.69435538137347	1.65134514448321	-1.63158727395101	-1.62230679736812	-1.68733882814563
EFEADKAH_00580	1.53596073002249	1.552434337256	1.76518491555393	-1.58584769522487	-1.61217577647823	-1.65555651112932
EFEADKAH_00940	1.48220273733257	1.66100265184676	1.65249702006152	-1.52119056203905	-1.58969104499966	-1.68482080220214
EFEADKAH_00839	-1.56724266035092	-1.55967745867199	-1.6592566531371	1.5021360286116	1.60506402214125	1.67897672140716
EFEADKAH_00593	1.58174519716612	1.68129520620961	1.51577046617263	-1.56629700649178	-1.63942079065528	-1.5730930724013
EFEADKAH_02154	1.59855654472899	1.43759222739842	1.72871317177577	-1.5480054827933	-1.56623680418586	-1.65061965692401
EFEADKAH_00944	1.62347492733245	1.59426184820868	1.54701819930274	-1.54715655573761	-1.70692071296223	-1.51067770614404
EFEADKAH_00838	-1.6139046390953	-1.56238362912872	-1.58728469780322	1.67088331973139	1.57605449875772	1.51663514753812
EFEADKAH_02322	1.50688382697657	1.609675415927	1.64275452891094	-1.51974214356427	-1.5649224859391	-1.67464914231115
EFEADKAH_02155	1.4779498421536	1.4892777646635	1.76060130336803	-1.58929532941814	-1.48355478969636	-1.65497879107064
EFEADKAH_00982	1.5960053793887	1.54775207980168	1.59016749168283	-1.59484053134411	-1.57130169934483	-1.56778272018427
EFEADKAH_00392	1.65925418785492	1.51865264973448	1.55276198594222	-1.55586927660933	-1.56882313158618	-1.60597641533611
